id,resource_id,ts,pp1,pp2,pp3,,already_know,articulationRate,boring,clear,complicated,discovery,engagement,exciting,f0Range,fast,interactive,long,mood,pause,time-stamp,time_stamp,too_fast,too_long,too_much,unclear,valuable
846,-58,2021-12-14T11:02:40,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
853,-57,2021-12-14T11:03:36,,,,,,,,false,,,4,false,,false,,false,,,,,,,,false,false
857,2,2021-12-14T12:02:48,,,,,,,,false,,,4,false,,false,,false,,,,,,,,false,true
859,255,2021-12-14T16:15:10,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
863,43,2021-12-15T12:43:19,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
865,81,2021-12-15T13:21:58,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
868,82,2021-12-15T13:22:51,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
873,83,2021-12-15T13:23:36,,,,,,,,false,,,4,false,,false,,false,,,,,,,,false,true
875,104,2021-12-15T13:44:02,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
877,106,2021-12-15T13:46:37,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
881,108,2021-12-15T13:48:55,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
885,110,2021-12-15T13:50:38,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
887,111,2021-12-15T13:51:56,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
889,115,2021-12-15T13:55:14,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
891,116,2021-12-15T13:56:54,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
895,117,2021-12-15T13:57:31,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
897,119,2021-12-15T13:59:56,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
899,123,2021-12-15T14:03:21,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
903,124,2021-12-15T14:04:40,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
913,125,2021-12-15T14:05:50,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
915,128,2021-12-15T14:08:46,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
919,130,2021-12-15T14:10:32,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
925,133,2021-12-15T14:13:48,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
927,134,2021-12-15T14:14:42,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
929,142,2021-12-15T14:22:04,,,,,false,,,false,,false,3,false,,false,false,false,,,,,false,false,false,false,false
931,143,2021-12-15T14:23:52,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
935,144,2021-12-15T14:24:19,,,,,false,,,false,,false,3,false,,false,false,false,,,,,false,false,false,false,false
937,153,2021-12-15T14:33:47,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
939,156,2021-12-15T14:36:42,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
945,159,2021-12-15T14:39:56,,,,,true,,,false,,false,3,false,,false,false,false,,,,,false,false,false,false,false
947,166,2021-12-15T14:46:14,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
949,167,2021-12-15T14:47:20,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
951,171,2021-12-15T14:51:26,,,,,false,,,false,,false,3,false,,false,false,false,,,,,false,false,false,false,false
953,172,2021-12-15T14:52:09,,,,,false,,,false,,false,3,false,,false,false,false,,,,,false,false,false,false,false
955,173,2021-12-15T14:53:08,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
959,174,2021-12-15T14:54:59,,,,,false,,,false,,false,3,false,,false,false,false,,,,,false,false,false,false,false
961,177,2021-12-15T14:57:41,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
963,178,2021-12-15T14:58:54,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
965,180,2021-12-15T15:00:36,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
969,182,2021-12-15T15:02:48,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
973,183,2021-12-15T15:03:48,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
975,184,2021-12-15T15:04:06,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
977,190,2021-12-15T15:10:20,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
979,191,2021-12-15T15:11:04,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
981,205,2021-12-15T15:25:08,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
983,212,2021-12-15T15:32:24,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
987,217,2021-12-15T15:37:46,,,,,,,,false,,,3,true,,false,,false,,,,,,,,false,false
991,222,2021-12-15T15:42:30,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
996,230,2021-12-15T15:50:33,,,,,,,,false,,,4,true,,false,,false,,,,,,,,false,false
1006,446,2021-12-15T19:26:39,,,,,,,,false,,,4,true,,false,,false,,,,,,,,false,false
1011,484,2021-12-15T20:04:16,,,,,false,,,false,,false,4,false,,false,false,false,,,,,false,false,false,false,true
1013,-128,2021-12-16T09:52:39,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
1015,138,2021-12-16T14:18:52,,,,,false,,,false,,false,3,false,,false,false,false,,,,,false,false,false,false,false
1019,139,2021-12-16T14:19:22,,,,,false,,,false,,false,3,false,,true,false,false,,,,,false,false,false,false,false
1021,140,2021-12-16T14:20:12,,,,,false,,,false,,false,4,false,,false,false,false,,,,,false,false,false,true,false
1022,145,2021-12-16T14:25:41,,,,,false,,,true,,false,4,false,,false,false,false,,,,,false,false,false,false,false
1023,146,2021-12-16T14:26:19,,,,,,,,true,,,5,false,,false,,false,,,,,,,,false,false
1025,150,2021-12-16T14:30:18,,,,,false,,,false,,false,2,false,,false,false,true,,,,,false,false,false,false,false
1027,701,2021-12-16T23:41:57,,,,,false,,,false,,false,3,false,,false,false,false,,,,,false,false,false,false,false
1029,-186,2021-12-17T08:54:56,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
1030,-185,2021-12-17T08:54:59,,,,,,,,false,,,5,false,,false,,false,,,,,,,,false,false
1033,-184,2021-12-17T08:56:26,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
1036,-124,2021-12-17T09:56:16,,,,,,,,false,,,4,false,,false,,false,,,,,,,,false,false
1039,-96,2021-12-17T10:24:46,,,,,,,,false,,,2,false,,false,,false,,,,,,,,false,false
1059,-77,2021-12-17T10:44:00,,,,,,,,false,,,5,false,,false,,true,,,,,,,,false,false
1065,-76,2021-12-17T10:44:31,,,,,,,,false,,,3,false,,false,,true,,,,,,,,false,false
1066,-74,2021-12-17T10:46:54,,,,,,,,false,false,,5,false,,false,,false,,,,,false,false,,true,false
1068,-67,2021-12-17T10:53:48,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
1074,-41,2021-12-17T11:19:34,,,,,,,,false,,,3,false,,false,,false,,,,,,,,true,false
1085,-23,2021-12-17T11:37:55,,,,,,,,false,,,4,false,,false,,false,,,,,,,,true,false
1086,-6,2021-12-17T11:54:38,,,,,false,,,false,,false,3,false,,false,false,false,,,,,false,false,false,true,false
1091,-5,2021-12-17T11:55:15,,,,,,,,false,,,3,true,,false,,false,,,,,,,,false,false
